Comment ID,Item ID,Shop ID,Username,Comment,Rating Star,User Name,Anonymous,Region,Item Name
6354871129,6907023178,195450779,moniquee.craft,"Daya serap:bagus
Efektivitas:bagus
Kenyamanan:bagus

Benerr"" ini yg di tunggu"" eh pas di pake malah zonk di aku hasil nya, btw aku pertama kali pake Camille nahh diaku pas selsai di bilas ko malah kaya mutihin yg emg bagus tapi ini ngedempul dimukaku kaya pake fondi tpii ga nyatu sama kulit gtuuu, bisa di liat di before dan after nya pas after asli ya",5,moniquee.craft,False,ID,BPOM Camille Product 25gr-65gr (baca deskripsi!!)
5583462105,6907023178,195450779,izah4072,"Daya serap:sangat baguss untuk kulit berjerawat aku pakai variant greentea😍❣️💖🌈🤩🥰
Efektivitas:paketku sampai untuk pengemasan dan pengiriman sangatt cepattt bangett udah bucin banget🥰😍😘❣️🤩💖
Kenyamanan:baru pakai 3x jerawat langsung kempess aku review jujur ya guys karna type muka aku sensitif❣️🥰😍🦋

Finally🥺💖😍🦋🌈❣️🌻🌼😚🥰😘aku dapat variant greentea gpp walaupun dapat yang 25gram karna bener” susah banget buat dapetin yang uk gede😭😭udah bucin banget sama mask camille❣️😍bener” bikin jerawat hempas soo aku bakall punya semua variant tapi ga pernah kebagian scrub sama facemist nya huhu😭😍",5,izah4072,False,ID,BPOM Camille Product 25gr-65gr (baca deskripsi!!)
5912309674,6907023178,195450779,d*****7,"Daya serap:10 menitt langsung keringg, gabuang waktu banyak🥰
Efektivitas:Menghilangkan bekas jeriwii
Kenyamanan:enak bangett pas dibilas muka berasa bersih bgt, dan scrub nya halus dan gaa sakit kalau digosok. 

Dahlaahh mau sungkeeemm ajaa samaa yang buat camille!! cintaa bangettt. Wangi kopi nya enakk. cocokkk bangeett akutuh. sebelumnya suka pake masker organik tapi ngefek nya lama bgt. kalauu inii baru beberapa kali pake aja udah baguss huaaa. Thankyouuu selleerrr! kalau bisa banyakin stok nya yahhh🥰🥰",5,d*****7,True,ID,BPOM Camille Product 25gr-65gr (baca deskripsi!!)
5919254608,6907023178,195450779,r*****3,"Daya serap:cepat tergantung ngadonnya biasanya 15-30menitan😩💖
Efektivitas:strawberry wanginya pw bngtsii lebih enak diantara yang lain menurutku tapi yang lain ga kalah ena💗
Kenyamanan:nyaman bngt mau kebanyakan adonan atau keenceran ttp bisa dipake ga buang buang produk argh cinta😍

camille gilasii pertama coba pas event 8:8 jadi candu sampe sekarang harus punya stock sblm kehabisan karna emg sebagus itu woiii arghh sungkem dlu sama ka nad bikin produk sebagus ini😩😻😍💖💗🦋",5,r*****3,True,ID,BPOM Camille Product 25gr-65gr (baca deskripsi!!)
5596562170,6907023178,195450779,v*****t,"Daya serap:bagus
Efektivitas:bagus
Kenyamanan:bagus

first time beli camille ! 
karna udh bosen bngt fyp ku semua masker camille,akhir nya aku penasaran sebagus apa dan pertama kali beli,Alhamdulillah dapet,dan malem udh nyoba bener bagus bngt woiii
aku nyoba 1x pake udh keliatan bngt perubahan nya😭8.8 harus dapet lgi ini mah😭💘
thankyou !!",5,v*****t,True,ID,BPOM Camille Product 25gr-65gr (baca deskripsi!!)
5550157329,6907023178,195450779,eliyaaaw,"Daya serap:cepet nyerap, cepet kering
Efektivitas:cocok buat cerahin muka kusam dan ngilangin bruntusan
Kenyamanan:mudah dibersihkan, wanginya enak bgt

Pembelian kedua ini maskernya pokoknya rebutan bgt, sekarang rebutan males banget, pemakaian udah mau habis, setiap opor gak kebagian lagi. Yasudah. Emg se worth it itu dari harga dan kualitas masker nya bener bener amaze bgt, ruko nya deket rumah bgt jalan kaki bisa. Mauu beli langsung boleh gak ya",5,eliyaaaw,False,ID,BPOM Camille Product 25gr-65gr (baca deskripsi!!)
5296889614,6907023178,195450779,d*****4,"Harga:standart
Kualitas:bagus inimah udh banyak yg buktiin
Efektivitas:keracunan orang2 yg berhasil make masker ini

Ini pesen sebelum 7.7 karna udh gasabar mau cobaa masker dari camille dan ternyata kedapetannya yg varian coklat, tapi gapapa banyak jg yg cocok sama varian coklat ini, nnti update terbaru kalo udh coba pakee ya kaaaa
Ditungguuuuuuu buat bisa jdi agent official nya camille ✨🥰",5,d*****4,True,ID,BPOM Camille Product 25gr-65gr (baca deskripsi!!)
5243209429,6907023178,195450779,s*****a,"Harga:murahhh
Kualitas:speechless ga ngerti lg
Efektivitas:WORK BGT DI AKU 🥺

*progress foto dr atas ke bawah*
aku dari yg jerawatan krn ga cocok skincare rutin pake ini tiap hari selama 2 minggu (as seen on pict) dan bener bener ngefek bgt. makasih kak nad bikin masker yg bisa balikin kulit aku 🥺❤️",5,s*****a,True,ID,BPOM Camille Product 25gr-65gr (baca deskripsi!!)
5629410253,6907023178,195450779,f*****a,"Daya serap:standar masker pada umumnya aja 
Efektivitas:sejauh ini pake yg milk sama strowberi ngaruh si makanya nyoba beli yg kopi
Kenyamanan:nyaman ko grenjelnya ga besar 

Aku selama ini nyoba pake yg strawberri sama milk dan ngaruh si bekas jerawatku rada memudar dan juga kalau ada jerawat jadi cepet keringnya trus atas rekomen temen akhirnya beli yg kopi deh. Btw ini kemasan yg 65gnya baru ga si? Soalnya yg milk punyaku ga begini kemasannya. sukses terus ka usahanya",5,f*****a,True,ID,BPOM Camille Product 25gr-65gr (baca deskripsi!!)
5230738666,6907023178,195450779,m*****2,"Harga:standart
Kualitas:setelah upgrade residunya jadi banyak bgd kalau habis pakai micellar water
Efektivitas:bagus

Produk nya udah bagus, tapi sayang isi masker tidak sampai 65 gram atau 25 gram. Padahal di kemasan tertera nya 65 gram. Antara kemasan yg tertera di masker dgn isian masker tidak sesuai. Semoga kedepan nya bisa lebih baik dan jujur dalam timbangan.",5,m*****2,True,ID,BPOM Camille Product 25gr-65gr (baca deskripsi!!)
6060410427,6907023178,195450779,Unknown,"Daya serap:BAGUS POKOKNYA G BS NGOMONG APA APA LAGI😔🥰
Efektivitas:BAGUS BANGET
Kenyamanan:NYAMAN DONG WOR IT BGT AKU SAMPE KERACUNAN HUHU

Jadi aku barusan pertama kali beli masker ini dan wajah aku tuh lagi BERUNTUSAN BANGET🥲 dan aku berharap semoga setelah aku pake masker ini jerawat aku Mengurang ya,bisa di liat kondisi muka  aku skrang jerawatan parah,next bakal aku spil klo ada perubahan😭🤌🏻 mksh ka😉",5,Unknown,False,ID,BPOM Camille Product 25gr-65gr (baca deskripsi!!)
5960292136,6907023178,195450779,nandafikeysia,"Daya serap:cepatt 10 menit keringgg
Efektivitas:baguss bangett di akuu <3 
Kenyamanan:nyaman aja si kadang cekat cekit gatel tapi normall

my favourite mask is camille 
pengemasan pengiriman dan pengecekan bagus
thanks camilleeee 💗💗💗",5,nandafikeysia,False,ID,BPOM Camille Product 25gr-65gr (baca deskripsi!!)
5702552062,6907023178,195450779,ar24concept_custom,"Daya serap:Kecairan nya bisa kita atur sendiri✨✨✨😍
Efektivitas:Pemakaian pertama mulai rada cerahan✨✨✨😚
Kenyamanan:Dingin tapi rada sedikit gatel pas dipake gasi? Tapi hasilnya memuaskan sekali langsung aga cerahann

Aku baru nyoba yg lemon wanginyaa yaampun canduuu wkwk first time order disini dan puass bica check out dan boxnya lucuu😍😍✨✨💗💗. Belum puas sih belum dapet FACEMIST DAN BODYSCRUB NYA!! barusan aja kirain bakal kebagian😭tolonggg banyak banyak banyaaakkkkk banyaaakkkkkkinnnn lagiii stok nya yaaa😜",5,ar24concept_custom,False,ID,BPOM Camille Product 25gr-65gr (baca deskripsi!!)
